	SAJV46-1	Full
	SAKP34-1	
	SAKP34-2	
	SAKT1-2	
	SAKT1-1	
Ab	SAJU12-1	
	SAJU12-2	
Ab-a	SAGC1-1	
Ab-a	SAKW8-1	
Ab-b	SAIS2-1	
Ab-c	SAJD7-1	
Ab-c	SAKB6-1	
	SAKB6-2	
Ab-c	SAKB19-1	
	SAKB19-2	
Ab-c	SAKP17-1	
	SAKP17-2	
Ab-c	SAKU6-1	
	SAKU6-2	
Ab-c	SAKU8-1	
	SAKU8-2	
Ab-d	SAKC6-1	
Ab-d	SAKC7-1	
	SAKC7-2	
Ab-d	SAKQ15-1	
Ab-Sensory	SAGD7-1	
Ab-Sensory	SAGM31-1	
Ab-Sensory	SAJD4-1	
Ab-Sensory	SAJH10-2	
	SAJH10-1	
Ab-Sensory	SAJX4-1	
Ab-Sensory	SAKB25-1	
Ab-Sensory	SAKO19-1	Full
	SAKO19-2	
Ab-Sensory	SAKQ7-1	
	SAKQ7-3	
Ab-Sensory	SAKW21-1	
	SAKW21-2	
AL	AAEX15-1	Full
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL	SABI10-1	
	SABI10-1	
AL		
AL		
AL		
AL		
AL		
AL	SABN1-1	
	SABN1-1	
	SABN1-4	
AL		
AL	SABR10-1	
	SABR10-1	
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL		
AL	SADK1-1	
	SADK1-1	
AL	SADL4-1	
	SADL4-1	
	SADL4-1	
AL	SAEB5-1	
	SAEB5-1	
AL	SAEB10-1	
	SAEB10-2	
	SAEB10-1	
AL	SAEB11-1	
	SAEB11-1	
AL	SAED26-1	
	SAED26-3	
	SAED26-3	
	SAED26-1	
	SAED26-1	
	SAED26-1	
	SAED26-2	
	SAED26-3	
AL	SAED26-1	
	SAED26-3	
	SAED26-3	
	SAED26-1	
	SAED26-1	
	SAED26-1	
	SAED26-2	
	SAED26-3	
AL	SAEG17-1	
	SAEG17-1	
	SAEG17-1	
AL	SAEH2-1	
AL	SAEH5-1	
AL	SAEH11-1	
	SAEH11-2	
AL	SAEI19-1	
	SAEI19-1	
AL	SAEJ18-1	
	SAEJ18-1	
	SAEJ18-1	
AL	SAEJ22-1	
	SAEJ22-1	
AL	SAEK10-1	
AL	SAEL9-1	
	SAEL9-1	
AL	SAEM14-1	
	SAEM14-1	
	SAEM14-1	
AL	SAEM15-1	
	SAEM15-1	
AL	SAGK3-1	
	SAGK3-1	
AL	SAGL4-1	
	SAGL4-1	
	SAGL4-1	
AL	SAGL12-1	
	SAGL12-1	
AL	SAGM25-1	
	SAGM25-1	
	SAGM25-1	
AL	SAGN10-1	
	SAGN10-1	
AL	SAGP45-1	
	SAGP45-1	
AL	SAGQ6-1	
	SAGQ6-1	
	SAGQ6-1	
	SAGQ6-1	
AL	SAGX20-1	
	SAGX20-1	
	SAGX20-1	
AL	SAGY4-1	
	SAGY4-1	
	SAGY4-1	
AL	SAGY6-1	
	SAGY6-1	
AL	SAHB9-1	
	SAHB9-1	
	SAHB9-1	
AL	SAHC17-1	
	SAHC17-1	
	SAHC17-1	
AL	SAHK13-1	
	SAHK13-1	
	SAHK13-1	
	SAHK13-1	
AL	SAHO8-1	
	SAHO8-1	
AL	SAHY19-1	
AL	SAJD14-1	
	SAJD14-2	
AL	SAJM15-1	
AL	SAJN1-1	
AL	SAJV13-1	Full
AL	SAJV22-1	Single
AL	SAJV24-1	Single
AL	SAJV33-1	Partial
AL	SAJV55-1	Single
AL	SAKB2-1	Full
	SAKB2-2	
AL	SAKB26-1	Full
	SAKB26-2	
AL	SAKP11-1	
	SAKP11-2	
AL	SAKP32-1	
	SAKP32-2	
AL	SAKT1-2	
	SAKT1-1	
AL	SAKT8-2	
	SAKT8-1	
AL	SAKT13-1	
AL	SAKW1-1	
AL-1	AABQ4-1	Full
AL-2	AABS1-1	Partial
AL-2	AABW7-1	Full
AL-2	AABW10-1	Full
AL-2	AACC15-1	Partial
AL-2	AACO12-1	Full
AL-2	AACO13-1	Single
AL-2	AACP3-1	Single
AL-2	AACP13-1	Single
AL-2	AACQ1-1	Full
AL-2	AACQ3-1	Single
AL-2	AACQ9-1	Full
AL-2	AACR17-1	Single
AL-2	AACS5-1	Full
AL-2	AACT10-1	Full
AL-2	AACT14-1	Full
AL-2	AADJ22-1	Full
AL-2	AADM2-1	Full
AL-2	AADN1-1	Full
AL-3	AACC1-1	Full
AL-4	AACD19-1	Full
AL-5	AACM25-1	Full
AL-6	AACT17-1	Full
AL-7	AACO12-1	Full
AL-7	AADJ1-1	Full
AL-8	AACP2-1	Partial
AL-9	AACU4-1	Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a		Full
AL-a	AAEP12-1	Full
AL-a	AAFD19-1	Full
AL-a	SABC5-1	
	SABC5-1	
AL-a	SABC26-1	
	SABC26-1	
	SABC26-1	
AL-a		
AL-a		
AL-a		
AL-a		
AL-a		
AL-a	SABN1-1	
	SABN1-1	
	SABN1-4	
AL-a		
AL-a	SADK10-1	
	SADK10-2	
AL-a	SAED12-1	
	SAED12-1	
AL-a	SAEM8-1	
	SAEM8-1	
	SAEM8-2	
	SAEM8-3	
AL-a	SAGM18-1	
	SAGM18-1	
	SAGM18-1	
AL-a	SAGO2-1	
	SAGO2-1	
	SAGO2-1	
	SAGO2-2	
	SAGO2-3	
	SAGO2-4	
AL-a	SAGS12-1	
	SAGS12-1	
	SAGS12-2	
	SAGS12-3	
AL-a	SAGS21-1	
	SAGS21-1	
	SAGS21-2	
	SAGS21-3	
AL-a	SAHB3-1	
	SAHB3-1	
	SAHB3-1	
	SAHB3-1	
	SAHB3-1	
	SAHB3-1	
	SAHB3-1	
	SAHB3-3	
	SAHB3-2	
	SAHB3-4	
AL-a	SAHO26-1	
	SAHO26-1	
	SAHO26-1	
AL-a	SAHS9-1	
AL-a	SAHS13-1	
	SAHS13-1	
	SAHS13-1	
AL-a	SAJH24-1	Full
